,timestamp,lon,lat,tmpf,relh,drct,sknt,p01i,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,smps,sknt_E,sknt_N,smps_E,smps_N,tmpc,elevation,sigma,station,valid,skyc1,skyc2,skyc3,metar
0,1672444800,-176.646,51.878,35.6,93.08,350.0,9.0,0.0,,1600.0,2300.0,2900.0,,,,4.629996,-1.5628335990023734,8.863269777109872,-0.8039903680051771,4.5596559572155115,2.000000000000001,4.0,585663.3263837765,PADK,2022-12-31 00:00,SCT,BKN,BKN,PADK 310000Z AUTO 35009KT SCT016 BKN023 BKN029 02/01 A2875 RMK T00200010 MADISHF
1,1672445100,-176.646,51.878,35.6,93.08,350.0,8.0,0.0,,1300.0,1800.0,2500.0,,,,4.115552,-1.389185421335443,7.878462024097664,-0.7146581048934907,4.053027517524899,2.000000000000001,4.0,585663.3263837765,PADK,2022-12-31 00:05,SCT,SCT,BKN,PADK 310005Z AUTO 35008KT SCT013 SCT018 BKN025 02/01 A2875 RMK T00200010 MADISHF
2,1672445400,-176.646,51.878,35.6,93.08,360.0,9.0,0.0,,1500.0,2000.0,3400.0,,,,4.629996,-2.204364238465236e-15,9.0,-1.1340219562930098e-15,4.629996,2.000000000000001,4.0,585663.3263837765,PADK,2022-12-31 00:10,BKN,BKN,BKN,PADK 310010Z AUTO 36009KT BKN015 BKN020 BKN034 02/01 A2875 RMK T00200010 MADISHF
3,1672445700,-176.646,51.878,35.6,93.08,360.0,9.0,0.0,,1500.0,3400.0,3400.0,,,,4.629996,-2.204364238465236e-15,9.0,-1.1340219562930098e-15,4.629996,2.000000000000001,4.0,585663.3263837765,PADK,2022-12-31 00:15,BKN,BKN,,PADK 310015Z AUTO 36009KT BKN015 BKN034 02/01 A2875 RMK T00200010 MADISHF
4,1672446000,-176.646,51.878,35.6,93.08,350.0,9.0,0.0,,1200.0,1700.0,3400.0,,,,4.629996,-1.5628335990023734,8.863269777109872,-0.8039903680051771,4.5596559572155115,2.000000000000001,4.0,585663.3263837765,PADK,2022-12-31 00:20,FEW,SCT,BKN,PADK 310020Z AUTO 35009KT FEW012 SCT017 BKN034 02/01 A2874 RMK T00200010 MADISHF
5,1672446180,-176.646,51.878,35.6,93.08,350.0,9.0,0.0,,1400.0,1760.0,3130.0,,,,4.629996,-1.5628335990023734,8.863269777109872,-0.8039903680051771,4.5596559572155115,2.000000000000001,4.0,585663.3263837765,PADK,2022-12-31 00:23,SCT,,,PADK 310023Z AUTO 35009KT SCT014 02/01 A2874 RMK AO2 PWINO FZRANO $
6,1672446300,-176.646,51.878,35.84,93.088,350.0,8.0,0.0,,1400.0,1800.0,2950.0,,,,4.115552,-1.389185421335443,7.878462024097664,-0.7146581048934907,4.053027517524899,2.133333333333334,4.0,585663.3263837765,PADK,2022-12-31 00:25,SCT,,,PADK 310025Z AUTO 35008KT SCT014 02/01 A2874 RMK T00200010 MADISHF
7,1672446600,-176.646,51.878,36.44,93.108,340.0,8.0,0.0,,1400.0,1900.0,2500.0,,,,4.115552,-2.736161146605355,7.517540966287265,-1.4076016849042452,3.867353844860686,2.466666666666667,4.0,585663.3263837765,PADK,2022-12-31 00:30,FEW,SCT,SCT,PADK 310030Z AUTO 34008KT FEW014 SCT019 SCT025 02/01 A2874 RMK T00200010 MADISHF
8,1672446900,-176.646,51.878,37.04,93.128,340.0,7.0,0.0,,1700.0,2500.0,3500.0,,,,3.601108,-2.3941410032796857,6.577848345501357,-1.2316514742912146,3.3839346142531,2.7999999999999994,4.0,585663.3263837765,PADK,2022-12-31 00:35,SCT,BKN,,PADK 310035Z AUTO 34007KT SCT017 BKN025 02/01 A2874 RMK T00200010 MADISHF
9,1672447080,-176.646,51.878,37.4,93.14,330.0,7.0,0.0,,1700.0,2500.0,4100.0,,,,3.601108,-3.500000000000003,6.062177826491069,-1.8005540000000015,3.118651009771371,2.999999999999999,4.0,585663.3263837765,PADK,2022-12-31 00:38,SCT,BKN,,PADK 310038Z AUTO 33007KT SCT017 BKN025 03/02 A2874 RMK AO2 PWINO $
10,1672447200,-176.646,51.878,37.355555555555554,93.09777777777778,340.0,8.0,0.0,,1700.0,2300.0,4500.0,,,,4.115552,-2.736161146605355,7.517540966287265,-1.4076016849042452,3.867353844860686,2.9753086419753076,4.0,585663.3263837765,PADK,2022-12-31 00:40,BKN,BKN,,PADK 310040Z AUTO 34008KT BKN017 BKN023 03/02 A2874 RMK T00300020 MADISHF
11,1672447500,-176.646,51.878,37.24444444444444,92.99222222222222,340.0,7.0,0.0,,1700.0,2300.0,5500.0,,,,3.601108,-2.3941410032796857,6.577848345501357,-1.2316514742912146,3.3839346142531,2.91358024691358,4.0,585663.3263837765,PADK,2022-12-31 00:45,SCT,BKN,BKN,PADK 310045Z AUTO 34007KT SCT017 BKN023 BKN055 03/02 A2874 RMK T00300020 MADISHF
12,1672447800,-176.646,51.878,37.13333333333333,92.88666666666667,330.0,5.0,0.0,,1700.0,2300.0,5500.0,,,,2.57222,-2.500000000000002,4.330127018922192,-1.2861100000000012,2.227607864122408,2.8518518518518516,4.0,585663.3263837765,PADK,2022-12-31 00:50,BKN,BKN,BKN,PADK 310050Z AUTO 33005KT BKN017 BKN023 BKN055 02/02 A2874 RMK T00200020 MADISHF
13,1672448100,-176.646,51.878,37.022222222222226,92.78111111111112,330.0,8.0,0.0,,1700.0,2300.0,5500.0,,,,4.115552,-4.0000000000000036,6.928203230275507,-2.057776000000002,3.564172582595853,2.7901234567901234,4.0,585663.3263837765,PADK,2022-12-31 00:55,BKN,BKN,OVC,PADK 310055Z AUTO 33008KT BKN017 BKN023 OVC055 03/02 A2874 RMK T00300020 MADISHF
14,1672448160,-176.646,51.878,37.0,92.76,330.0,8.0,0.0,,1700.0,2300.0,5500.0,,,,4.115552,-4.0000000000000036,6.928203230275507,-2.057776000000002,3.564172582595853,2.7777777777777777,4.0,585663.3263837765,PADK,2022-12-31 00:56,BKN,BKN,OVC,PADK 310056Z AUTO 33008KT BKN017 BKN023 OVC055 03/02 A2874 RMK AO2 SLP732 T00280017 PWINO $
15,1672448400,-176.646,51.878,36.86666666666667,92.7904761904762,340.0,5.0,0.0,,1700.0,2200.0,5500.0,,,,2.57222,-1.7101007166283468,4.698463103929541,-0.8797510530651533,2.4170961530379285,2.7037037037037037,4.0,585663.3263837765,PADK,2022-12-31 01:00,BKN,OVC,,PADK 310100Z AUTO 34005KT BKN017 OVC022 02/01 A2874 RMK T00200010 MADISHF
16,1672448700,-176.646,51.878,36.7,92.82857142857144,340.0,5.0,0.0,,1700.0,2200.0,5500.0,,,,2.57222,-1.7101007166283468,4.698463103929541,-0.8797510530651533,2.4170961530379285,2.611111111111111,4.0,585663.3263837765,PADK,2022-12-31 01:05,BKN,BKN,BKN,PADK 310105Z AUTO 34005KT BKN017 BKN022 BKN055 02/01 A2874 RMK T00200010 MADISHF
17,1672449000,-176.646,51.878,36.53333333333333,92.86666666666667,340.0,10.0,0.0,,1400.0,2000.0,5500.0,,,,5.14444,-3.4202014332566937,9.396926207859082,-1.7595021061303067,4.834192306075857,2.5185185185185186,4.0,585663.3263837765,PADK,2022-12-31 01:10,SCT,BKN,BKN,PADK 310110Z AUTO 34010KT SCT014 BKN020 BKN055 02/01 A2874 RMK T00200010 MADISHF
18,1672449300,-176.646,51.878,36.36666666666667,92.90476190476191,320.0,8.0,0.0,,1400.0,2300.0,5250.0,,,,4.115552,-5.142300877492317,6.128355544951823,-2.6454258326206572,3.152695739967196,2.4259259259259265,4.0,585663.3263837765,PADK,2022-12-31 01:15,BKN,BKN,,PADK 310115Z AUTO 32008KT BKN014 BKN023 02/01 A2874 RMK T00200010 MADISHF
